country,region,year,value
"Hong Kong SAR, China",East Asia & Pacific,2018,84.93414634
Japan,East Asia & Pacific,2018,84.21097561
"Macao SAR, China",East Asia & Pacific,2018,84.118
Switzerland,Europe & Central Asia,2018,83.75365854
Spain,Europe & Central Asia,2018,83.43170732
Italy,Europe & Central Asia,2018,83.34634146
Singapore,East Asia & Pacific,2018,83.14634146
Liechtenstein,Europe & Central Asia,2018,83.04146341
Channel Islands,Europe & Central Asia,2018,82.928
Iceland,Europe & Central Asia,2018,82.86097561
