date,value
1960,54.60264405
1961,55.1084744
1962,55.53364409
1963,56.08028657
1964,56.77490808
1965,57.45640817
1966,58.21423979
1967,58.93822981
1968,59.5687102
1969,60.16797759
1970,60.75348378
1971,61.26904775
1972,61.72854527
1973,62.15476893
1974,62.64192357
1975,63.09134825
1976,63.52146964
1977,63.98190132
1978,64.37203213
1979,64.7757134
1980,65.08721329
1981,65.45563059
1982,65.79664513
1983,66.05019176
1984,66.32080478
1985,66.56086407
1986,66.83741378
1987,67.08595964
1988,67.29678466
1989,67.53166828
1990,67.75079117
1991,67.95708498
1992,68.1268957
1993,68.2850835
1994,68.53416122
1995,68.71696613
1996,68.97596545
1997,69.23300825
1998,69.45263635
1999,69.63111588
2000,69.86727847
2001,70.11112389
2002,70.33766483
2003,70.57345539
2004,70.89466026
2005,71.16212898
2006,71.50620595
2007,71.844866
2008,72.16062818
2009,72.52026725
2010,72.84341124
2011,73.18832366
2012,73.48217318
2013,73.78175093
2014,74.07033822
2015,74.27151366
2016,74.5043763
2017,74.6960497
2018,74.87180632
