date,value
1962,51.63349756
1963,52.13528879
1964,52.77792458
1965,53.41253904
1966,54.11621307
1967,54.80027925
1968,55.36907078
1969,55.98709777
1970,56.57832526
1971,57.11761342
1972,57.6276929
1973,58.09604492
1974,58.59962061
1975,59.04245321
1976,59.45678154
1977,59.84823352
1978,60.18287382
1979,60.50833871
1980,60.77292749
1981,61.08876627
1982,61.40199698
1983,61.64536582
1984,61.90359536
1985,62.17371642
1986,62.49113525
1987,62.74213977
1988,62.93977017
1989,63.13300151
1990,63.29038598
1991,63.45896706
1992,63.59522975
1993,63.67948257
1994,63.84255496
1995,64.03680831
1996,64.33796819
1997,64.64462074
1998,64.90585207
1999,65.13690073
2000,65.40822248
2001,65.70396423
2002,65.96961336
2003,66.24363319
2004,66.57182748
2005,66.83999501
2006,67.17944831
2007,67.5010264
2008,67.80071945
2009,68.13599596
2010,68.43206297
2011,68.74255727
2012,69.02211046
2013,69.30273986
2014,69.57214969
2015,69.77926782
2016,70.00953216
2017,70.22177669
2018,70.39873644
