date,price
03/10/2016,$91.56
03/05/2016,$51.28
03/14/2016,$98.07
05/10/2016,$88.90
09/25/2016,$16.26
06/17/2016,$10.65
12/22/2016,$29.10
06/19/2016,$90.67
08/17/2016,$47.80
05/08/2016,$39.86
12/17/2016,$42.57
12/05/2016,$88.91
04/27/2016,$36.86
10/10/2016,$63.52
10/25/2016,$57.83
05/30/2016,$66.67
12/11/2016,$64.85
04/18/2016,$30.82
07/12/2016,$99.10
06/27/2016,$65.57
12/27/2016,$10.71
02/02/2016,$90.33
06/12/2016,$90.25
08/28/2016,$55.41
02/17/2016,$72.17
10/12/2016,$40.18
11/06/2016,$15.12
11/19/2016,$20.60
05/13/2016,$93.81
10/07/2016,$88.16
08/08/2016,$28.27
02/17/2016,$74.17
06/07/2016,$15.70
06/11/2016,$44.46
08/15/2016,$47.62
10/01/2016,$88.29
07/22/2016,$13.74
10/11/2016,$10.88
10/08/2016,$77.06
07/19/2016,$93.75
06/11/2016,$15.45
11/09/2016,$99.13
04/29/2016,$31.74
02/10/2016,$43.12
05/02/2016,$51.04
07/07/2016,$78.75
09/28/2016,$83.52
02/15/2016,$19.65
07/17/2016,$81.52
05/09/2016,$47.18
11/03/2016,$86.05
09/03/2016,$65.71
10/24/2016,$36.49
01/01/2016,$73.91
02/26/2016,$24.34
10/21/2016,$24.44
05/12/2016,$67.54
12/04/2016,$17.70
08/05/2016,$86.82
09/19/2016,$53.95
01/27/2016,$62.59
08/08/2016,$15.21
05/06/2016,$40.17
05/02/2016,$65.59
02/26/2016,$61.71
06/24/2016,$99.35
11/25/2016,$50.30
01/04/2016,$75.01
06/17/2016,$47.31
06/28/2016,$94.88
06/12/2016,$82.56
09/01/2016,$53.26
04/23/2016,$81.33
03/31/2016,$90.48
04/04/2016,$56.54
07/03/2016,$98.73
04/04/2016,$15.59
03/26/2016,$30.90
12/08/2016,$30.82
08/29/2016,$97.55
11/11/2016,$45.58
06/13/2016,$56.41
02/16/2016,$54.31
12/04/2016,$93.00
12/07/2016,$60.43
01/22/2016,$28.16
04/02/2016,$15.41
02/09/2016,$85.02
07/25/2016,$31.44
10/05/2016,$38.53
12/04/2016,$52.59
05/03/2016,$80.12
12/07/2016,$51.58
03/06/2016,$17.59
02/03/2016,$14.40
10/04/2016,$63.74
02/01/2016,$14.78
10/29/2016,$29.39
07/30/2016,$70.36
07/12/2016,$47.52
